author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Elizabeth Yuko,Why You Should Take a Walk With Someone to Stop an Argument,"One of the byproducts of living in a highly politicized society is the abundance of arguments. Even if you’re not engaging in them yourself, we’re constantly surrounded by people who turn aspects of everyday life into a political statement or moral crusade, a…",https://lifehacker.com/why-you-should-take-a-walk-with-someone-to-stop-an-argu-1848648540,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/3129b4a7a4dffe67bd4dbbee5b0346eb.jpg",2022-03-14T15:00:00Z,"One of the byproducts of living in a highly politicized society is the abundance of arguments. Even if youre not engaging in them yourself, were constantly surrounded by people who turn aspects of ev… [+3220 chars]",,Lifehacker.com
Emily Long,It's Cheaper to Buy a House Than Rent in These Cities,"Whether you rent your home or are in the market to buy, there’s hasn’t been any good news about availability or affordability in a long time. Purchase prices have shot to record highs, and rent has seen double-digit growth every month for the last seven month…",https://lifehacker.com/its-cheaper-to-buy-a-house-than-rent-in-these-cities-1848691906,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/3bc56b2dee62c90d59aef672a14a3710.jpg",2022-03-23T17:30:00Z,"Whether you rent your home or are in the market to buy, theres hasnt been any good news about availability or affordability in a long time. Purchase prices have shot to record highs, and rent has see… [+1742 chars]",,Lifehacker.com
Khamosh Pathak,How to Copy More Than One Thing to Your Clipboard at a Time on Windows and Mac,"You probably use your computer copy and paste some text, a link, or an image from one place to another dozens of times a day. You probably don’t even think about it. That is, until something goes wrong, or you’re working on something that requires you to do i…",https://lifehacker.com/how-to-copy-more-than-one-thing-to-your-clipboard-at-a-1848711373,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/83b43e9e6c01bca2410e50f8c2138d2f.png",2022-03-28T18:30:00Z,"You probably use your computer copy and paste some text, a link, or an image from one place to another dozens of times a day. You probably dont even think about it. That is, until something goes wron… [+3890 chars]",,Lifehacker.com
Jeff Somers,Everything You Need to Know About Stock Splits (and Reverse Stock Splits),"In the nearly 30 years since Amazon launched as a humble online bookstore, it has moved into just about every aspect of our lives. It’s now a retailer, a grocery store, a media streamer, a movie production company, a cloud computing company, a major employer,…",https://lifehacker.com/everything-you-need-to-know-about-stock-splits-and-rev-1848661571,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/17db8919b8249baa2eed54071d5f01db.jpg",2022-03-16T19:30:00Z,"In the nearly 30 years since Amazon launched as a humble online bookstore, it has moved into just about every aspect of our lives. Its now a retailer, a grocery store, a media streamer, a movie produ… [+4451 chars]",,Lifehacker.com
Beth Skwarecki,What the 12-3-30 Workout Gets Wrong (and What It Gets Right),"The 12-3-30 workout has taken over TikTok, which is a testament to the algorithm and a few influencers’ abilities to game it. It’s really just treadmill walking, with specific parameters and overblown promises. So let’s break down the pros, cons, and caveats—…",https://lifehacker.com/what-the-12-3-30-workout-gets-wrong-and-what-it-gets-r-1848667798,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/7fd084d35c0eb5dedec8ef4ab58fa11d.jpg",2022-03-17T18:30:00Z,"The 12-3-30 workout has taken over TikTok, which is a testament to the algorithm and a few influencers abilities to game it. Its really just treadmill walking, with specific parameters and overblown … [+5778 chars]",,Lifehacker.com
Beth Skwarecki,What to Know About Aphasia (Besides That It Affects Your Speech),"Bruce Willis’ family wrote on Instagram that the actor will be retiring due to health issues, including most recently a diagnosis of aphasia. Aphasia is a disorder that can affect a person’s ability to communicate.Read more...",https://lifehacker.com/what-to-know-about-aphasia-besides-that-it-affects-you-1848728176,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/4b412a2f25f83cd9b4ec2f6ff595d1ec.jpg",2022-03-30T19:17:13Z,"Bruce Willis family wrote on Instagram that the actor will be retiring due to health issues, including most recently a diagnosis of aphasia. Aphasia is a disorder that can affect a persons ability to… [+2838 chars]",,Lifehacker.com
Pranay Parab,Why You Should Switch to Substack’s New App,"Substack is a newsletter service that lets you follow specific writers and receive their articles directly to your inbox. Its business model centers around a subscription that allows writers to get paid directly from their audience, (while Substack also gets …",https://lifehacker.com/why-you-should-switch-to-substack-s-new-app-1848634159,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dfefae8796fe5f8872cab9048802609a.png",2022-03-10T17:00:00Z,Substack is a newsletter service that lets you follow specific writers and receive their articles directly to your inbox. Its business model centers around a subscriptionthat allows writers to get pa… [+1889 chars],,Lifehacker.com
Khamosh Pathak,7 Frustrating New Features in Windows 11 (and How to Fix Them),"Like many things in life, Windows 11 is a mixed bag. It finally modernizes the Windows operating system: It looks stunning, it’s secure, and it’s fast, and it comes with a couple of neat tricks like the new snap windows assistant and a redesigned taskbar. But…",https://lifehacker.com/7-frustrating-new-features-in-windows-11-and-how-to-fi-1848626828,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/9ff64befd64217897ceef3e005eddb92.jpg",2022-03-14T14:00:00Z,The right-click menu has a legacy of its own. It had not changed in more two decades. And for good reason: it showed a simple list of relevant actions. But Windows 11 changed that. It now has a panel… [+882 chars],,Lifehacker.com
Jake Peterson,Why Resetting Your iPhone Could Dial 911 (and How to Avoid It),"Smartphones are just tiny computers, and every now and then, all computers will decide to stop working. Your device will freeze up and become unresponsive, instantly turning into a $1,000+ paperweight. It’s times like these when a forced reset comes in handy—…",https://lifehacker.com/why-resetting-your-iphone-could-dial-911-and-how-to-av-1848649461,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/6e70dd545822d288cabb114ea1c8bb17.jpg",2022-03-14T18:00:00Z,"Smartphones are just tiny computers, and every now and then, all computers will decide to stop working. Your device will freeze up and become unresponsive, instantly turning into a $1,000+ paperweigh… [+2961 chars]",,Lifehacker.com
Khamosh Pathak,What Is Microsoft Edge's Efficiency Mode (and How Can You Enable It)?,"Microsoft Edge is a pretty good default browser. Now that it’s made on the same platform as Chrome, it’s fast, versatile, and efficient; Microsoft has put in a lot of effort to make Edge less resource-intensive when compared to Chrome. But for some computers …",https://lifehacker.com/what-is-microsoft-edges-efficiency-mode-and-how-can-yo-1848666190,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dff3336e1fb741085e67b1db08dee8c2.jpg",2022-03-17T15:30:00Z,"Microsoft Edge is a pretty good default browser. Now that its made on the same platform as Chrome, its fast, versatile, and efficient; Microsoft has put in a lot of effort to make Edge less resource-… [+1821 chars]",,Lifehacker.com
